Event Type,Start Time,End Time,,Aligned to fibre start,End Aligned
Box sniff,112.214255,,,45.214255,
Box sniff,258.983377,,,191.983377,
Box sniff,269.215986,,,202.215986,
Nose poke into aperture,275.229416,,,208.229416,
Nose poke into aperture,396.807895,,,329.807895,
Nose poke into aperture,406.735788,,,339.735788,
Nose poke into aperture,446.132258,,,379.132258,
Nose poke into aperture,448.100588,,,381.100588,
Box sniff,502.050987,,,435.050987,
Box sniff,503.599547,,,436.599547,
Box sniff,604.498081,,,537.498081,
Nose poke into aperture,605.480023,,,538.480023,
Nose poke into aperture,843.736027,,,776.736027,
Nose poke into aperture,847.297657,,,780.297657,
Nose poke into aperture,848.134651,,,781.134651,
Nose poke into aperture,855.177216,,,788.177216,
Nose poke into aperture,855.380607,,,788.380607,
Bedding pull,855.662392,862.493576,,788.662392,795.493576
Nose poke into aperture,863.764343,,,796.764343,
Bedding pull,864.525416,870.375954,,797.525416,803.375954
Nose poke into aperture,872.753344,,,805.753344,
Nose poke into aperture,873.403395,,,806.403395,
Nose poke into aperture,881.3486,,,814.3486,
Bedding pull,882.632084,883.23082,,815.632084,816.23082
Nose poke into aperture,905.886356,,,838.886356,
Bedding pull,906.803522,907.585537,,839.803522,840.585537
Nose poke into aperture,911.299363,,,844.299363,
Nose poke into aperture,1018.515457,,,951.515457,
Nose poke into aperture,1048.233876,,,981.233876,
Box sniff,1050.431847,,,983.431847,
Nose poke into aperture,1050.965451,,,983.965451,
Bedding pull,1051.848941,1053.03,,984.848941,986.03
Bedding pull,1053.699475,1054.06271,,986.699475,987.06271
Nose poke into aperture,1082.414057,,,1015.414057,
Nose poke into aperture,1291.045903,,,1224.045903,
Nose poke into aperture,1376.084646,,,1309.084646,
Bedding pull,1376.808551,1379.574421,,1309.808551,1312.574421
Bedding pull,1382.222323,1383.704998,,1315.222323,1316.704998
Nose poke into aperture,1388.753259,,,1321.753259,
Nose poke into aperture,1400.813064,,,1333.813064,
Nose poke into aperture,1402.095862,,,1335.095862,
Bedding pull,1402.481063,1406.628462,,1335.481063,1339.628462
Nose poke into aperture,1825.76669,,,1758.76669,
Bedding pull,1826.183839,1834.167155,,1759.183839,1767.167155
Nose poke into aperture,1841.391934,,,1774.391934,
Nose poke into aperture,1842.574945,,,1775.574945,
Bedding pull,1842.975321,1845.673347,,1775.975321,1778.673347
Nose poke into aperture,1847.254852,,,1780.254852,
Bedding pull,1848.08057,1850.270638,,1781.08057,1783.270638
Nose poke into aperture,1852.236845,,,1785.236845,
Nose poke into aperture,1853.26967,,,1786.26967,
Bedding pull,1854.468463,1859.285989,,1787.468463,1792.285989
Bedding pull,1861.098144,1862.867103,,1794.098144,1795.867103
Bedding pull,1863.933634,1864.380223,,1796.933634,1797.380223
Bedding pull,1867.677324,1868.431519,,1800.677324,1801.431519
Nose poke into aperture,1925.727019,,,1858.727019,
Nose poke into aperture,1925.81627,,,1858.81627,
Bedding pull,1926.530495,1927.396997,,1859.530495,1860.396997
Nose poke into aperture,1970.139163,,,1903.139163,
Bedding pull,1970.538039,1971.554952,,1903.538039,1904.554952
Nose poke into aperture,1995.376111,,,1928.376111,
Bedding pull,1996.159384,1996.841487,,1929.159384,1929.841487
Nose poke into aperture,2023.560222,,,1956.560222,
Box sniff,2356.195091,,,2289.195091,
Box sniff,2406.285858,,,2339.285858,
Nose poke into aperture,2407.269676,,,2340.269676,
Nose poke into aperture,2407.819041,,,2340.819041,
Nose poke into aperture,2545.309682,,,2478.309682,
Nose poke into aperture,2547.625433,,,2480.625433,
Nose poke into aperture,2549.596218,,,2482.596218,
Nose poke into aperture,2665.593596,,,2598.593596,
Bedding pull,2666.709098,2666.959771,,2599.709098,2599.959771
Bedding pull,2686.167597,2688.765834,,2619.167597,2621.765834
Bedding pull,2695.379898,2705.258133,,2628.379898,2638.258133
Bedding pull,2705.690521,2716.334935,,2638.690521,2649.334935
Bedding pull,2716.784599,2720.316556,,2649.784599,2653.316556
Bedding pull,2724.064143,2724.531145,,2657.064143,2657.531145
Bedding pull,2725.696509,2732.563135,,2658.696509,2665.563135
Bedding pull,2733.125537,2734.279764,,2666.125537,2667.279764
Nose poke into aperture,2788.877916,,,2721.877916,
Bedding pull,2793.562731,2802.823979,,2726.562731,2735.823979
Bedding pull,2805.440658,2812.38604,,2738.440658,2745.38604
Bedding pull,2814.151951,2826.178262,,2747.151951,2759.178262
Bedding pull,2826.615938,2827.34467,,2759.615938,2760.34467
Nose poke into aperture,2946.096027,,,2879.096027,
Nose poke into aperture,3126.155817,,,3059.155817,
